Resources\TiledMap\3-1_tiles.png
0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,1,2,2,2,2,2,2,2,2,2,2,2,2,0,3,2,2,2,2,0,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
4,5,2,2,2,2,2,2,6,7,8,9,2,2,2,2,2,2,2,2,6,7,8,9,2,2,2,2,6,7,8,9,2,2,2,2,4,5,4,5,2,2,6,7,8,9,2,2,6,7,8,9,4,10,11,12,11,3,13,14,11,3,2,2,2,2,6,7,8,9,2,2,2,2,6,7,8,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,15,9,2,2,6,7,8,9,2,2,2,6,15,9,2,2,2,2,6,7,8,
16,17,2,2,2,2,2,2,18,19,20,21,22,23,24,19,20,25,24,22,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,26,17,16,17,2,2,2,2,2,2,2,2,2,2,2,2,26,27,28,29,28,30,16,27,28,30,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,31,32,32,32,33,2,2,2,2,18,19,20,25,24,19,22,2,18,19,22,18,20,25,24,22,2,2,2,2,2,2,2,2,2,2,2,
34,35,36,6,15,9,2,23,37,38,39,39,40,41,42,43,39,44,42,45,22,2,2,2,2,6,15,9,2,2,2,2,2,2,2,2,16,35,34,35,36,2,2,2,2,2,2,2,2,2,2,2,16,46,47,48,47,49,34,46,47,49,36,6,15,9,2,2,2,2,2,2,2,2,2,2,2,6,15,9,2,2,2,50,51,51,52,53,6,7,8,54,37,38,39,44,42,43,55,56,37,38,40,57,39,44,42,45,22,2,6,7,8,9,2,2,2,2,2,
58,59,60,2,2,2,61,62,63,64,63,64,63,65,66,67,63,65,66,67,68,69,2,2,2,2,18,19,20,25,24,22,70,71,2,2,16,59,58,59,60,2,2,31,32,32,32,32,32,32,32,33,16,72,48,73,48,74,58,72,48,74,60,2,2,2,2,31,32,33,2,31,32,32,32,32,32,33,2,2,2,31,32,75,51,51,52,53,2,2,61,62,63,64,63,65,66,67,63,65,66,67,63,64,63,65,66,67,68,69,2,2,18,19,20,71,70,25,24,
76,77,78,79,80,81,82,83,84,83,84,83,84,85,86,87,84,85,86,87,84,88,89,90,78,91,92,64,93,63,65,94,62,68,69,95,80,96,76,77,78,97,2,50,51,51,51,51,51,51,52,98,80,99,100,101,100,102,76,101,100,77,78,79,80,90,78,103,52,53,2,50,51,51,51,51,52,53,2,2,2,50,52,104,51,51,52,98,80,81,82,83,84,83,84,85,86,87,84,85,86,87,84,83,84,85,86,87,84,88,78,91,92,64,93,105,62,63,65,
106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,107,32,75,51,51,51,51,51,51,52,108,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,109,110,111,106,112,51,51,51,51,52,108,106,107,32,113,110,114,51,51,52,108,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,
115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,116,52,104,51,51,51,51,51,51,52,117,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,116,52,117,115,116,51,51,51,51,52,117,115,116,52,104,52,104,51,51,52,117,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,
118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,119,120,115,121,32,122,115,121,32,122,115,121,32,122,115,121,32,113,110,114,51,51,51,51,51,51,52,117,115,115,115,121,32,32,32,122,115,123,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,119,124,110,125,110,114,51,51,52,117,115,115,115,121,122,115,115,121,122,115,115,121,122,115,115,123,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,
126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,127,128,115,129,130,131,115,129,130,131,115,129,130,131,115,129,130,132,130,132,133,133,133,133,133,133,130,131,115,115,115,129,133,134,130,131,115,135,136,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,127,137,130,132,130,132,133,133,130,131,115,115,115,138,131,115,115,138,131,115,115,138,131,115,115,135,136,126,126,126,126,126,126,126,126,126,126,126,126,126,126,
139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,140,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,141,142,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,140,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,141,142,139,139,139,139,139,139,139,139,139,139,139,139,139,139,
